clip_id,error_type,fold,label,prompt_group,stage1_candidate,stage1_clip_score,stage2_candidate_score
C000380,STAGE2_REJECT,3,1,P2_phrase_plus_vigil,True,0.9861083626747131,0.2455613911151886
C000387,STAGE2_REJECT,3,1,P3_vigil_plus_phrase,True,0.9964956641197205,0.23105432093143463
C000389,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9888771176338196,0.21832726895809174
C000390,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9499416351318359,0.22117209434509277
C000391,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9929636120796204,0.2191992551088333
C000392,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9973358511924744,0.2251530885696411
C000394,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9564054012298584,0.22753766179084778
C000395,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.992366373538971,0.22285489737987518
C000396,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9865332841873169,0.21805402636528015
C000399,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9911822080612183,0.2186337113380432
C000400,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9726928472518921,0.22186407446861267
C000401,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9971150159835815,0.22135978937149048
C000402,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.8941333293914795,0.21724975109100342
C000403,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.9360352158546448,0.22494956851005554
C001142,STAGE1_MISS,3,1,P1_vigil_only,False,0.08296138048171997,0.0
C001146,STAGE1_MISS,3,1,P1_vigil_only,False,0.4233536124229431,0.0
C001361,STAGE1_MISS,3,1,P1_vigil_only,False,0.6114470958709717,0.0
C001363,STAGE1_MISS,3,1,P1_vigil_only,False,0.25717249512672424,0.0
C001394,STAGE1_MISS,3,1,P3_vigil_plus_phrase,False,0.7369890809059143,0.0
C001580,STAGE1_MISS,3,1,P1_vigil_only,False,0.7703725695610046,0.0
C001599,STAGE1_FALSE_CANDIDATE_REJECTED,3,0,P4_negative,True,0.8722910284996033,0.2280103713274002
C000021,STAGE1_MISS,4,1,P1_vigil_only,False,0.9060184955596924,0.0
C000024,STAGE1_FALSE_CANDIDATE_REJECTED,4,0,P4_negative,True,0.9976353645324707,0.3624666929244995
C000036,STAGE2_REJECT,4,1,P1_vigil_only,True,0.9984186887741089,0.3524715304374695
C000037,STAGE1_MISS,4,1,P2_phrase_plus_vigil,False,0.8947507739067078,0.0
C000047,STAGE2_REJECT,4,1,P2_phrase_plus_vigil,True,0.9719191789627075,0.7013111114501953
C000055,STAGE1_MISS,4,1,P3_vigil_plus_phrase,False,0.2569800019264221,0.0
C000056,STAGE1_MISS,4,1,P3_vigil_plus_phrase,False,0.3227403461933136,0.0
C000072,STAGE2_REJECT,4,1,P1_vigil_only,True,0.9986434578895569,0.7134565114974976
C000188,STAGE2_FALSE_ACCEPT,4,0,P4_negative,True,0.9663823843002319,0.7689689993858337
C000189,STAGE2_FALSE_ACCEPT,4,0,P4_negative,True,0.9977791905403137,0.7873084545135498
C000195,STAGE1_FALSE_CANDIDATE_REJECTED,4,0,P4_negative,True,0.9985313415527344,0.2214450091123581
C000698,STAGE2_REJECT,4,1,P1_vigil_only,True,0.99672532081604,0.7014851570129395
C000712,STAGE1_FALSE_CANDIDATE_REJECTED,4,0,P4_negative,True,0.9956381916999817,0.21373291313648224
